"permutation_id","program_name","percent_specified","mean"
5583,"list",99.1,4.064228639
5583,"list",99.1,0.00190748
5583,"list",99.1,0.096595836
5584,"composite",70.2,0.004088801
5584,"composite",70.2,1.253673703
5584,"composite",70.2,0.014373165
5584,"composite",70.2,0.852489775
5586,"bst",97.7,0.007152496
5586,"bst",97.7,0.559596946
5586,"bst",97.7,0.006133451
5586,"bst",97.7,0.245858748
5587,"avlja",63.4,0.003975702
5587,"avlja",63.4,58.273208811
5587,"avlja",63.4,0.07294011
5587,"avlja",63.4,4.704249433
5590,"bst",98.2,0.006402401
5590,"bst",98.2,0.498143892
5590,"bst",98.2,0.005431761
5590,"bst",98.2,0.189945386
5591,"composite",70.8,0.003901256
5591,"composite",70.8,1.244711998
5591,"composite",70.8,0.012740883
5591,"composite",70.8,0.845360532
5592,"list",100,0.002544495
5592,"list",100,4.078736715
5592,"list",100,0.001674482
5592,"list",100,0.085219495
5593,"avlja",63.9,0.004004833
5593,"avlja",63.9,57.821277406
5593,"avlja",63.9,0.077636758
5593,"avlja",63.9,4.769219108
5595,"bst",98.6,0.006453621
5595,"bst",98.6,0.601587336
5595,"bst",98.6,0.005400335
5595,"bst",98.6,0.184497965
5597,"composite",71.4,0.003913822
